"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Pensulo Health Centre","Pensulo Health Centre","Southern","Blantyre","TA Kuntaja","BT241260","2","BEmONC","No","-15.8077481","34.9570384"
"Queen Elizabeth Central Hospital","Queen Elizabeth Central Hospital","Southern","Blantyre","TA Kapeni","BT241293","4","CEmONC","Yes","-15.803376","35.0196917"
"Soche Maternity Health Centre","Soche Maternity Health Centre","Southern","Blantyre","TA Somba","BT241336","2","BEmONC","No","-15.8567874","35.0352025"
"South Lunzu Community Hospital","South Lunzu Community Hospital","Southern","Blantyre","TA Machinjiri","BT2925","2","BEmONC","No","-15.7267427","35.0546967"
"St Vincent Mission Hospital","St Vincent Mission Hospital","Southern","Blantyre","TA Somba","BT2979","2","BEmONC","No","-15.9140736","34.9501774"
"Zingwangwa Community Hospital","Zingwangwa Community Hospital","Southern","Blantyre","TA Kapeni","BT241504","2","BEmONC","No","-15.8213954","35.0118632"
"Assalam Health Centre","Assalam Health Centre","Southern","Mangochi","TA Chimwala","MG2539","2","BEmONC","No","-14.5455815","35.1925352"
"Billy Riordan Mission Hospital","Billy Riordan Mission Hospital","Southern","Mangochi","TA Namkumba","MG2567","2","BEmONC","No","-14.0320033","34.840615"
"Cape Maclear Dispensary","Cape Maclear Dispensary","Southern","Mangochi","TA Namkumba","MG2594","1","Non-EmONC","No","-14.0260133","34.851695"
"Chikole Health Centre","Chikole Health Centre","Southern","Mangochi","TA Chowe","MG2501","2","Non-EmONC","No","-14.4220498","35.3843534"
"Chilipa Health Centre","Chilipa Health Centre","Southern","Mangochi","TA Chilipa","MG2502","2","BEmONC","No","-14.7026033","34.9731267"
"Chilonga Health Centre","Chilonga Health Centre","Southern","Mangochi","TA Namkumba","MG2541","2","BEmONC","No","-14.4671608","34.8711452"
"Chiponde Health Centre","Chiponde Health Centre","Southern","Mangochi","STA Chiponde","MG2532","2","BEmONC","No","-14.3735749","35.6019938"
"Chiumbangame Health Centre","Chiumbangame Health Centre","Southern","Mangochi","TA Jalasi","MG2503","2","Non-EmONC","No","-14.3194564","35.5557301"
"Chiunda Health Centre","Chiunda Health Centre","Southern","Mangochi","TA Chiunda","MG2533","2","Non-EmONC","No","-14.7776715","35.4390643"
"Iba Health Centre","Iba Health Centre","Southern","Mangochi","TA Jalasi","MG2534","2","Non-EmONC","No","-14.3071711","35.3970931"
