"name","label","region","district","ta"
"MZ0506","Ehehleni Dispensary","Northern","Mzimba South","STA Chiputula Nhlane"
"MZ0507","Embangweni Mission Hospital","Northern","Mzimba South","TA Mzukuzuku"
"MZ0508","Endindeni Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0509","Hoho Health Centre","Northern","Mzimba South","STA Chiputula Nhlane"
"MZ0510","Jenda Rural Hospital","Northern","Mzimba South","STA Chiputula Nhlani"
"MZ0511","Bulala Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0512","Kalikumbi Health Centre","Northern","Mzimba South","TA M'mbelwa"
"MZ0513","Kamteteka Health Centre","Northern","Mzimba South","TA M'mbelwa"
"MZ0514","Katete Community Hospital","Northern","Mzimba South","STA Levi Jere"
"MZ0515","Khosolo Health Centre","Northern","Mzimba South","TA Khosolo"
"MZ0516","Lunjika Health Centre","Northern","Mzimba South","TA Kampingo Sibande"
"MZ0517","Luwawa Health Centre","Northern","Mzimba South","TA Mzikubola"
"MZ0518","Luwerezi Health Centre","Northern","Mzimba South","TA Mabilabo"
"MZ0519","Mabiri Health Centre","Northern","Mzimba South","TA Mzukuzuku"
"MZ0520","Madede Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0521","Manyamula Health Centre","Northern","Mzimba South","TA M'mbelwa"
"MZ0522","Mbalachanda Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0523","Mhalaunda Health Centre","Northern","Mzimba South","TA M'mbelwa"
"MZ0524","Mkoma Health Centre","Northern","Mzimba South","TA Khosolo"
"MZ0525","Msese Health Centre","Northern","Mzimba South","TA Khosolo"
"MZ0526","Mtende Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0527","Mzalangwe Health Centre","Northern","Mzimba South","TA Chindi"
"MZ0528","Mzambazi Community Hospital","Northern","Mzimba South","TA Chindi"
"MZ0530","Kabuwa Health Centre","Northern","Mzimba South","TA Khosolo"
"MZ0531","Raiply Dispensary","Northern","Mzimba South","TA Kampingo Sibande"
"MZ0532","Vibangalala Dispensary","Northern","Mzimba South","TA Mzukuzuku"
"MZ161732","Hora Health Centre","Northern","Mzimba South","TA Mtwalo"
"MZ161733","Engalaweni Health Centre","Northern","Mzimba South","TA M'mbelwa"
"RU 141007","Mphompha Health Centre","Northern","Rumphi","TA Mwankhunikira"
"RU 141377","St Patricks Health Centre","Northern","Rumphi","TA Chikulamayembe"
"RU140107","Bolero Rural Hospital","Northern","Rumphi","TA Chikulamayembe"
"RU140271","Chisimuka Health Centre","Northern","Rumphi","TA Katumbi"
