"name","label","region","district"
"Ntambanyama Health Centre","Ntambanyama Health Centre","Southern","Thyolo"
"Ntanangale District Hospital","Ntanangale District Hospital","Southern","Thyolo"
"Sambankhanga Clinic","Sambankhanga Clinic","Southern","Thyolo"
"Sandama Health Post","Sandama Health Post","Southern","Thyolo"
"Satemwa Health Centre","Satemwa Health Centre","Southern","Thyolo"
"St Martin Molere Health Centre","St Martin Molere Health Centre","Southern","Thyolo"
"Thekerani Rural Hospital","Thekerani Rural Hospital","Southern","Thyolo"
"Thomas Health Centre","Thomas Health Centre","Southern","Thyolo"
"Thowera Health Centre","Thowera Health Centre","Southern","Thyolo"
"Thunga Health Centre","Thunga Health Centre","Southern","Thyolo"
"Thyolo District Hospital","Thyolo District Hospital","Southern","Thyolo"
"Yamikani Manthenga Health Centre","Yamikani Manthenga Health Centre","Southern","Thyolo"
